XB53-0000-0002	 ISBL HAZOP Review Report	 A	 	 2019-10-21 00:00:00	 1	 
XB53-0000-0003	 OSBL HAZOP Review Report	 A	 	 2019-10-21 00:00:00	 1	 
XP11-18E3630A-S11A.01	 Requisition for HAZOP Review	 1	 R	 2019-07-24 00:00:00	 1	 
XP12-18E3630A-S11A.01	 TBE for HAZOP Review	 A	 R	 2019-07-10 00:00:00	 1	 
XF11A-0000-0001	 Design Criteria for Architecture Engineering	 0A	 1	 2020-02-11 00:00:00	 1	 
XF11A-0000-0002	 Finishes Specification for Architectural Engineering	 0B	 1	 2020-02-11 00:00:00	 1	 
XF11A-0000-0003	 Specification for HVAC Engineering	 0C	 1	 2019-09-05 00:00:00	 1	 
XF11A-0000-0004	 Specification for Fire Fighting and Plumbing Engineering	 0A	 1	 2019-04-29 00:00:00	 1	 
XF11A-0000-0011	 Design Criteria for Civil and Structure Engineering	 1A	 1	 2019-08-06 00:00:00	 1	 
XF11A-0000-0012	 Construction Specification for Concrete Works	 1C	 1	 2019-12-18 00:00:00	 1	 
XF11A-0000-0013	 Construction Specification for Steel Works	 1A	 1	 2019-10-22 00:00:00	 1	 
XF11A-0000-0014	 Construction Specification for Earthwork	 1A	 1	 2019-07-11 00:00:00	 1	 
XF11B-0000-0001	 Typical Details for Reinforced Concrete (1)	 1A	 1	 2019-07-19 00:00:00	 1	 
XF11B-0000-0002	 Typical Details for Reinforced Concrete (2)	 1A	 1	 2019-07-19 00:00:00	 1	 
XF11B-0000-0003	 Typical Details for Reinforced Concrete (3)	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0004	 Typical Details for Reinforced Concrete (4)	 1A	 1	 2019-07-19 00:00:00	 1	 
XF11B-0000-0005	 Typical Details for Reinforced Concrete (5)	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0006	 Typical Details for Embedded Plates (1/2)	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0007	 Typical Details for Embedded Plates (2/2)	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0008	 Typical Details for Anchor Bolts	 1A	 1	 2019-07-19 00:00:00	 1	 
XF11B-0000-0009	 Typical Details for Prestressed Concrete Pile	 1C	 1	 2019-08-07 00:00:00	 1	 
XF11B-0000-0010	 Typical Details for Pile Head Treament	 1	 1	 2019-06-13 00:00:00	 1	 
XF11B-0000-0021	 Typical Details for Structural Steel General Notes	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0022	 Typical Details for Structural Steel Welding Detail	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0023	 Typical Details for Structural Steel Details of Stair (1/2)	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0024	 Typical Details for Structural Steel Details of Stair (2/2)	 1B	 1	 2019-11-08 00:00:00	 1	 
XF11B-0000-0025	 Typical Details for Structural Steel Details of Ladder	 1B	 1	 2019-10-24 00:00:00	 1	 
XF11B-0000-0026	 Typical Details for Structural Steel Details of  Floor	 1B	 1	 2019-11-08 00:00:00	 1	 
XF11B-0000-0027	 Typical Details for Structural Steel Fire Proofing Detail (1/3)	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0028	 Typical Details for Structural Steel Fire Proofing Detail (2/3)	 1	 1	 2019-05-15 00:00:00	 1	 
XF11B-0000-0029	 Typical Details for Structural Steel Fire Proofing Detail (3/3)	 1A	 1	 2019-08-12 00:00:00	 1	 
XF11B-0000-0061	 Typical Drawings for Architectural Engineering	 0	 1	 2019-05-30 00:00:00	 1	 
XF21B-0000-0001	 INITIAL PILE LOADING TEST PLAN	 1A	 1	 2019-08-07 00:00:00	 1	 
XF21B-0000-0002	 Factual Report for Initial Pile Loading Test	 A	 1	 2020-02-05 00:00:00	 1	 
XF31A-0000-0001	 Site Preparation Plan	 1	 1	 2019-06-19 00:00:00	 1	 
XF31B-0000-0001	 Electrical Cable Trench Overall Layout	 1A	 1	 2020-02-03 00:00:00	 1	 
XF31B-0000-0002	 Electrical Cable Trench Details (1)	 1	 1	 2019-10-18 00:00:00	 1	 
XF31B-0000-0003	 Electrical Cable Trench Details (2)	 1	 1	 2019-12-17 00:00:00	 1	 
XF31B-0000-0021	 Pipe Trench Plan	 1	 1	 2019-10-18 00:00:00	 1	 
XF31B-0000-0022	 Pipe Trench Detail	 1	 1	 2019-10-18 00:00:00	 1	 
XF31B-0000-0051C	 Calculation Sheet for Pipe Sleeper	 1	 1	 2019-11-13 00:00:00	 1	 
XF31B-0100-0001	 Electrical Cable Trench Plan For Unit 100 (1)	 1B	 1	 2020-02-18 00:00:00	 1	 
XF31B-0100-0002	 Electrical Cable Trench Plan For Unit 100 (2)	 1A	 1	 2020-02-03 00:00:00	 1	 
XF31B-0400-0001	 Electrical Cable Trench Plan For Unit 400 (1)	 1B	 1	 2020-02-18 00:00:00	 1	 
XF31B-0400-0051	 Pipe Sleeper Unit 400	 1A	 1	 2020-01-06 00:00:00	 1	 
